Date,"Daily minimum temperatures in Melbourne, Australia, 1981-1990"
7/31/1981,3.2
8/1/1981,5.7
8/2/1981,7.7
8/3/1981,9
8/4/1981,10
8/5/1981,6.2
8/6/1981,6.9
8/7/1981,6.5
8/8/1981,6.8
8/9/1981,7
8/10/1981,5.2
8/11/1981,3
8/12/1981,5.6
8/13/1981,7.9
8/14/1981,9
8/15/1981,8.6
8/16/1981,10.3
8/17/1981,10.5
8/18/1981,7.6
8/19/1981,9.7
8/20/1981,12.5
8/21/1981,7.4
8/22/1981,7.9
8/23/1981,3.9
8/24/1981,6.6
8/25/1981,4.6
8/26/1981,7
8/27/1981,6
8/28/1981,5.5
8/29/1981,8.1
8/30/1981,5.5
8/31/1981,6.2
9/1/1981,8
9/2/1981,10.3
9/3/1981,9.8
9/4/1981,9.6
9/5/1981,8.5
9/6/1981,7.5
9/7/1981,11.2
9/8/1981,14.6
9/9/1981,11.7
9/10/1981,7.8
9/11/1981,12.3
9/12/1981,10.1
9/13/1981,11.5
9/14/1981,7.3
9/15/1981,10.9
9/16/1981,14.1
9/17/1981,10.7
9/18/1981,16.9
9/19/1981,10.5
9/20/1981,6.5
9/21/1981,11
9/22/1981,6.3
9/23/1981,10.5
9/24/1981,7.2
9/25/1981,7.6
9/26/1981,10.7
9/27/1981,7.8
9/28/1981,9.6
9/29/1981,11.4
9/30/1981,12.4
10/1/1981,8.9
10/2/1981,13.2
10/3/1981,8.6
10/4/1981,6.2
10/5/1981,11.4
10/6/1981,13.2
10/7/1981,14.3
10/8/1981,7.3
10/9/1981,12.9
10/10/1981,7.8
10/11/1981,6.2
10/12/1981,5.6
10/13/1981,10
10/14/1981,13.3
10/15/1981,8.3
10/16/1981,10.2
10/17/1981,8.6
10/18/1981,7.3
10/19/1981,10.4
10/20/1981,11.2
10/21/1981,13.2
10/22/1981,11.4
10/23/1981,9.1
10/24/1981,6.6
10/25/1981,8.4
10/26/1981,9.7
10/27/1981,13.2
10/28/1981,12.5
10/29/1981,11
10/30/1981,11
10/31/1981,11.7
11/1/1981,9.2
11/2/1981,11.5
11/3/1981,13.6
11/4/1981,13.7
11/5/1981,10.4
11/6/1981,11.5
11/7/1981,7.6
11/8/1981,9.6
11/9/1981,14.2
11/10/1981,15.7
11/11/1981,10.5
11/12/1981,10.5
11/13/1981,9.7
11/14/1981,9.5
11/15/1981,11.3
11/16/1981,8.9
11/17/1981,9.4
11/18/1981,11.9
11/19/1981,11.7
11/20/1981,13.4
11/21/1981,12.6
11/22/1981,10.1
11/23/1981,15.8
11/24/1981,13.6
11/25/1981,11.9
11/26/1981,9.9
11/27/1981,12.6
11/28/1981,17.8
11/29/1981,15
11/30/1981,13.6
12/1/1981,13.4
12/2/1981,10.5
12/3/1981,14.2
12/4/1981,11.5
12/5/1981,13
12/6/1981,15
12/7/1981,14.7
12/8/1981,12.6
12/9/1981,12.5
12/10/1981,13.5
12/11/1981,14.8
12/12/1981,17.2
12/13/1981,9.7
12/14/1981,12.1
12/15/1981,12.8
12/16/1981,11.2
12/17/1981,16.4
12/18/1981,15.6
12/19/1981,13.3
12/20/1981,11
12/21/1981,11.1
12/22/1981,15
12/23/1981,12.8
12/24/1981,15
12/25/1981,14.2
12/26/1981,14
12/27/1981,15.5
12/28/1981,13.3
12/29/1981,15.6
12/30/1981,15.2
12/31/1981,17.4
1/1/1982,17
1/2/1982,15
1/3/1982,13.5
1/4/1982,15.2
1/5/1982,13
1/6/1982,12.5
1/7/1982,14.1
1/8/1982,14.8
1/9/1982,16.2
1/10/1982,15.8
1/11/1982,19.1
1/12/1982,22.2
1/13/1982,15.9
1/14/1982,13
1/15/1982,14.1
1/16/1982,15.8
1/17/1982,24
1/18/1982,18
1/19/1982,19.7
1/20/1982,25.2
1/21/1982,20.5
1/22/1982,19.3
1/23/1982,15.8
1/24/1982,17
1/25/1982,18.4
1/26/1982,13.3
1/27/1982,14.6
1/28/1982,12.5
1/29/1982,17
1/30/1982,17.1
1/31/1982,14
2/1/1982,14.6
2/2/1982,13.3
2/3/1982,14.8
2/4/1982,15.1
2/5/1982,13.1
2/6/1982,13.6
2/7/1982,19.5
2/8/1982,22.7
2/9/1982,17.2
2/10/1982,13.5
2/11/1982,15.4
2/12/1982,17
2/13/1982,19.2
2/14/1982,22.8
2/15/1982,26.3
2/16/1982,18.2
2/17/1982,17
2/18/1982,14.8
2/19/1982,12.8
2/20/1982,15.5
2/21/1982,15.6
2/22/1982,13.1
2/23/1982,15.2
2/24/1982,14.1
2/25/1982,12.5
2/26/1982,14.6
2/27/1982,10.4
2/28/1982,13.9
3/1/1982,11.9
3/2/1982,13.5
3/3/1982,9.8
3/4/1982,14
3/5/1982,21.5
3/6/1982,19.5
3/7/1982,16.7
3/8/1982,19.1
3/9/1982,11
3/10/1982,9
3/11/1982,10
3/12/1982,14.6
3/13/1982,12.5
3/14/1982,17.2
3/15/1982,19.2
3/16/1982,22.2
3/17/1982,15.7
3/18/1982,14.2
3/19/1982,9.8
3/20/1982,14
3/21/1982,17.5
3/22/1982,20.7
3/23/1982,15.6
3/24/1982,13.2
3/25/1982,14.5
3/26/1982,16.8
3/27/1982,17.2
3/28/1982,13.4
3/29/1982,14.2
3/30/1982,14.3
3/31/1982,10.2
4/1/1982,10.4
4/2/1982,12.3
4/3/1982,11.9
4/4/1982,11.2
4/5/1982,8.5
4/6/1982,12
4/7/1982,12.4
4/8/1982,12.9
4/9/1982,10.1
4/10/1982,15
4/11/1982,13.6
4/12/1982,12.4
4/13/1982,13.6
4/14/1982,16.1
4/15/1982,19.5
4/16/1982,14.2
4/17/1982,9.3
4/18/1982,10.1
4/19/1982,7.4
4/20/1982,8.6
4/21/1982,7.8
4/22/1982,9.1
4/23/1982,13
4/24/1982,16.5
4/25/1982,12.9
4/26/1982,6.9
4/27/1982,6.9
4/28/1982,8.7
4/29/1982,10
4/30/1982,10.8
5/1/1982,7.5
5/2/1982,6.3
5/3/1982,11.9
5/4/1982,13.8
5/5/1982,11.8
5/6/1982,11
5/7/1982,10.1
5/8/1982,8.5
5/9/1982,5.5
5/10/1982,7.6
5/11/1982,8.7
5/12/1982,10.8
5/13/1982,11.2
5/14/1982,9.1
5/15/1982,3.7
5/16/1982,4.6
5/17/1982,6.6
5/18/1982,13.2
5/19/1982,15.2
5/20/1982,7.6
5/21/1982,8.4
5/22/1982,6
5/23/1982,8.3
5/24/1982,8.6
5/25/1982,11.1
5/26/1982,12.1
5/27/1982,12.9
5/28/1982,14
5/29/1982,12.5
5/30/1982,11.5
5/31/1982,7
6/1/1982,7.1
6/2/1982,9
6/3/1982,3.1
6/4/1982,2.5
6/5/1982,0
6/6/1982,1.6
6/7/1982,2.6
6/8/1982,5.7
6/9/1982,2.3
6/10/1982,4.5
6/11/1982,8.2
6/12/1982,6.9
6/13/1982,7.3
6/14/1982,6
6/15/1982,7.3
6/16/1982,7.6
6/17/1982,8
6/18/1982,8
6/19/1982,6.8
6/20/1982,7.3
6/21/1982,6.2
6/22/1982,6.9
6/23/1982,8.9
6/24/1982,4
6/25/1982,1.3
6/26/1982,0.8
6/27/1982,4.3
6/28/1982,7.3
6/29/1982,7.7
6/30/1982,9
7/1/1982,4.2
7/2/1982,1.6
7/3/1982,2.6
7/4/1982,3.4
7/5/1982,3.9
7/6/1982,7
7/7/1982,7.8
7/8/1982,5.3
7/9/1982,2.4
7/10/1982,2.8
7/11/1982,4
7/12/1982,7.5
7/13/1982,7.8
7/14/1982,5.6
7/15/1982,3.3
7/16/1982,5
7/17/1982,3.7
7/18/1982,3.9
7/19/1982,5.2
7/20/1982,0.2
7/21/1982,0.8
7/22/1982,0.9
7/23/1982,3.5
7/24/1982,6.6
7/25/1982,9.5
7/26/1982,9
7/27/1982,3.5
7/28/1982,4.5
7/29/1982,5.7
7/30/1982,5.6
7/31/1982,7.1
8/1/1982,9.7
8/2/1982,8.3
8/3/1982,9.1
8/4/1982,2.8
8/5/1982,2.2
8/6/1982,4.5
8/7/1982,3.8
8/8/1982,3.8
8/9/1982,6.2
8/10/1982,11.5
8/11/1982,10.2
8/12/1982,7.9
8/13/1982,9
8/14/1982,9.5
8/15/1982,6
8/16/1982,8.2
8/17/1982,9.2
8/18/1982,4.3
8/19/1982,6.6
8/20/1982,9.4
8/21/1982,13.2
8/22/1982,6.6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
